ds,y,volume,rsi,ema_9,ema_21,macd,macd_signal
2022-01-03,57.5965,20785658.392078,50.0,57.5965,57.5965,0.0,0.0
2022-01-04,58.5575,26914993.551202,50.0,57.788700000000006,57.68386363636363,0.07666096866096694,0.01533219373219339
2022-01-05,59.0431,23173147.820682,50.0,58.039580000000015,57.80743057851239,0.1745866738094648,0.04718308974764767
2022-01-06,58.7328,18431993.437577,50.0,58.178224000000014,57.891555071374896,0.22456622429550066,0.08265971665721827
2022-01-07,58.5967,12672030.036728,50.0,58.261919200000015,57.95565915579535,0.2503078524621074,0.1161893438181961
2022-01-10,58.6935,21574287.490405,50.0,58.34823536000002,58.02273559617759,0.2753452209406504,0.14802051924268694
2022-01-11,58.7132,19942643.8635,50.0,58.421228288000016,58.08550508743417,0.2933950655213806,0.1770954284984257
2022-01-12,58.8003,16219891.836084,50.0,58.49704263040002,58.15048644312197,0.3111412962838145,0.20390460205550345
2022-01-13,59.1497,14741595.565926,50.0,58.62757410432002,58.241324039201785,0.3493716332483032,0.23299800829406342
2022-01-14,59.6263,20313340.84963,50.0,58.82731928345602,58.367230944728895,0.4133621065595321,0.2690708279471572
2022-01-18,59.1497,22627816.04748,50.0,58.89179542676482,58.438364495208084,0.42076704027562783,0.29941007041285134
2022-01-19,59.2476,19206657.066111,50.0,58.96295634141186,58.51193135928008,0.42958324714407325,0.32544470575909573
2022-01-20,59.0048,23682886.446369,50.0,58.97132507312949,58.556737599345524,0.4122263351789641,0.3428010316430694
2022-01-21,58.7132,27431409.404363,63.849683740543234,58.9197000585036,58.570961453950474,0.370668340503407,0.34837449341513693
2022-01-24,58.2376,31101154.361109,57.112112001065,58.783280046802886,58.5406558672277,0.2959449162931662,0.3378885779907428
2022-01-25,58.1015,19590033.12121,43.80804953560377,58.64692403744231,58.50073260657064,0.223171351270409,0.314945132646676
2022-01-26,57.8872,19757989.659046,33.055791726523736,58.494979229953856,58.44495691506422,0.14651660544038236,0.2812594272054173
2022-01-27,57.9361,19457806.647261,37.35196062867129,58.38320338396309,58.39869719551292,0.08869061818960944,0.24274566540225573
2022-01-28,59.0919,19666619.438766,55.93878921615663,58.52494270717048,58.46171563228447,0.1345752080280107,0.22111157392740674
2022-01-31,59.2573,22697540.198287,56.65203643399879,58.671414165736394,58.534041483894974,0.18218535439111605,0.2133263300201486
2022-02-01,58.8198,21458265.171084,51.14485780565341,58.701091332589115,58.56001953081361,0.18251027983923507,0.20716311998396592
2022-02-02,59.4218,20823961.257614,56.010057054443465,58.845233066071295,58.63836320983055,0.22870775385312925,0.2114720467577986
2022-02-03,59.8396,20015644.811323,56.58439748802226,59.04410645285704,58.747566554391405,0.2956247747602774,0.22830259235829437
2022-02-04,59.2084,17918625.506307,46.12589227774169,59.07696516228563,58.78946050399219,0.29433156008911965,0.24150838590445944
2022-02-07,59.8299,18374403.75555,56.140762675140834,59.22755212982851,58.88404591272017,0.33954249947679216,0.261115208618926
2022-02-08,60.2183,19327117.928071,58.3266139408808,59.42570170386281,59.00534173883651,0.4020782212252314,0.2893078111401871
2022-02-09,59.2857,24293641.765873,52.15457069661125,59.397701363090256,59.03082885348773,0.37209591523070173,0.3058654319582901
2022-02-10,59.6166,24258607.523243,56.887770661787116,59.44148109047221,59.08408077589794,0.37076167645743396,0.3188446808581189
2022-02-11,58.5575,23455383.548525,52.23972554785407,59.26468487237777,59.036209796270846,0.28100451871248566,0.3112766484289923
2022-02-14,58.9363,24340747.127916,55.65260962595813,59.19900789790222,59.02712708751895,0.23769729234578563,0.29656077721235097
2022-02-15,59.1594,13806063.376142,58.60408494521844,59.19108631832178,59.0391518977445,0.21885547918274284,0.28101971760642935
2022-02-16,59.1497,15942780.254497,58.251516222905174,59.182809054657426,59.04920172522227,0.200825506144092,0.2649808753139619
2022-02-17,60.3349,22103885.120402,58.417759237187106,59.41322724372594,59.166083386565695,0.27895671808082767,0.2677760438673351
2022-02-18,60.743,22625162.526479,59.74114530743914,59.67918179498076,59.30943944233245,0.36954662238362346,0.2881301595705928
2022-02-22,60.4905,22374319.474516,61.22646454057974,59.84144543598461,59.41680858393859,0.4161678109697604,0.3137376898504263
2022-02-23,59.8201,19817947.78993,52.65204479778407,59.837176348787686,59.45347143994417,0.3944725278281851,0.3298846574459781
2022-02-24,58.771,28012387.456806,43.43660172468862,59.623941079030146,59.39142858176742,0.28929049655967276,0.3217658252687171
2022-02-25,61.0445,22123521.380167,59.384231669545855,59.90805286322412,59.54170780160675,0.38494798777026773,0.33440225776902727
2022-02-28,60.4513,26644759.462824,53.185163922662134,60.0167022905793,59.62439800146068,0.40818564626552245,0.3491589354683263
2022-03-01,60.1891,16340640.835479,49.84836525279385,60.05118183246345,59.675734546782444,0.4008238613684796,0.359491920648357
2022-03-02,60.6364,17831512.976446,57.38644442257006,60.168225465970764,59.76306776980222,0.4261703391685714,0.3728276043523999
2022-03-03,60.6745,21891865.011829,55.976633560444306,60.26948037277661,59.84592524527474,0.44421136491887125,0.3871043564656942
2022-03-04,60.7724,17672454.980931,64.03772293417504,60.370064298221294,59.93015022297704,0.4610935205361315,0.4019021892797817
2022-03-07,59.3249,30013873.875172,52.169059367255336,60.16103143857704,59.87512747543367,0.3535955681503751,0.39224086505390043
2022-03-08,56.974,31136858.880896,40.143068485242104,59.52362515086163,59.61138861403061,0.07780776422249858,0.3293542448876201
2022-03-09,57.2657,23703831.585767,41.71329040430697,59.07204012068931,59.398144194573284,-0.11588248403122492,0.24030689910385114
2022-03-10,56.2165,21505242.812632,31.666013746928343,58.50093209655145,59.10890381324844,-0.35001037102167487,0.12224344507874595
2022-03-11,56.2556,20443083.415394,29.34472409920275,58.05186567724117,58.849512557498585,-0.5263360902190684,-0.0074724619808169135
2022-03-14,57.2931,18186764.97857,36.27442563274838,57.90011254179294,58.708020506816894,-0.5757213563683692,-0.12112224085832737
2022-03-15,58.3501,19012157.144145,43.89240664107294,57.990110033434355,58.67548227892444,-0.523533500999676,-0.2016044928865971
2022-03-16,58.1935,17724797.905028,47.40838471687444,58.03078802674749,58.631665708113125,-0.48917169407549466,-0.25911793312437664
2022-03-17,58.8101,15925446.028929,38.22115384615382,58.18665042139799,58.647887007375566,-0.40748797988617014,-0.28879194247673534
2022-03-18,58.8198,30854998.140426,40.835608281936324,58.3132803371184,58.66351546125051,-0.3380732410781633,-0.29864820219702093
2022-03-21,59.2897,17819707.515662,45.06312438247886,58.50856426969472,58.72044132840956,-0.2423508874128828,-0.2873887392401933
2022-03-22,59.505,17941704.088853,43.627351582741916,58.70785141575578,58.79176484400868,-0.14741797912911636,-0.2593945872179779
