ds,y,volume,rsi,ema_9,ema_21,macd,macd_signal
2022-06-30,134.738,100420493,42.752434903597695,136.02762810013593,137.69707675186356,-2.551659313265759,-3.3132158554089877
2022-07-01,136.915,72096906,52.397686111261294,136.20510248010876,137.6259788653305,-2.3078147395511337,-3.1121356322374174
2022-07-05,139.507,74509983,63.8595879464156,136.865481984087,137.79698078666408,-1.8836993072727068,-2.866448367244476
2022-07-06,140.847,75153933,64.35061770860204,137.6617855872696,138.0742552606037,-1.423053891017247,-2.57776947199903
2022-07-07,144.229,67228474,65.10185756776474,138.9752284698157,138.63377750963974,-0.7761430504636451,-2.217444187691953
2022-07-08,144.909,65497465,76.96596622405565,140.16198277585258,139.20425228149068,-0.2062141235289232,-1.815198174859347
2022-07-11,142.77,64236497,70.69645618353374,140.68358622068206,139.52841116499152,0.07202892889606005,-1.4377527541082658
2022-07-12,143.744,78730292,67.32007742389581,141.29566897654564,139.91164651362865,0.3669027855948741,-1.0768216461676379
2022-07-13,143.38,72232886,67.67973393716389,141.71253518123652,140.22695137602605,0.5647110461356135,-0.7485151077069876
2022-07-14,146.316,79290399,67.74478302319837,142.63322814498923,140.78050125093276,0.9474644007343613,-0.40931920601871785
2022-07-15,147.994,77381914,65.73261309925728,143.7053825159914,141.43627386448432,1.370402619856037,-0.05337484084376687
2022-07-18,144.938,82618782,58.972201655785135,143.95190601279313,141.75461260407664,1.4423638727878085,0.24577290188254822
2022-07-19,148.81,84203255,72.70533863458726,144.9235248102345,142.39601145825148,1.7911840695544186,0.5548551354169223
2022-07-20,150.822,65777135,72.93344566133106,146.10321984818762,143.16201041659224,2.2045653169407444,0.8847971717216867
2022-07-21,153.098,66044230,81.14186851211073,147.5021758785501,144.06528219690205,2.6848775156970532,1.24481324051676
2022-07-22,151.855,67656377,76.1701233183856,148.3727407028401,144.77343836082005,2.931436902008187,1.5821379728150453
2022-07-25,150.733,54412893,70.73206766639579,148.8447925622721,145.3152166916546,3.0016992485253695,1.86605022795711
2022-07-26,149.403,55949925,65.80697605675431,148.9564340498177,145.68683335604962,2.9164438305712963,2.0761289484799472
2022-07-27,154.518,79777404,67.86470812931898,150.06874723985416,146.48966668731782,3.2244466360993442,2.305792486003827
2022-07-28,155.069,82576025,67.72010604157944,151.06879779188333,147.26960607937983,3.4729679608167885,2.5392275809664193
2022-07-29,160.155,103284411,77.49486003479353,152.88603823350667,148.44100552670892,4.033821215671566,2.838146307907449
2022-08-01,159.168,68827326,74.38345769571262,154.14243058680535,149.41618684246265,4.348531643655576,3.140223375057075
2022-08-02,157.69,60788414,71.85266630016488,154.85194446944428,150.16835167496606,4.427640592718177,3.3977068185892954
2022-08-03,163.722,83721389,74.2842792566549,156.62595557555542,151.40050152269643,4.920348281098086,3.7022351110910536
2022-08-04,163.406,56290313,72.35178094906597,157.98196446044435,152.49191047517857,5.225092500984346,4.006806589069712
2022-08-05,163.179,57451343,78.8194773596233,159.0213715683555,153.46346406834417,5.386198741624781,4.282685019580726
2022-08-08,162.705,61165463,74.59379093065239,159.7580972546844,154.30360369849467,5.413228431680665,4.508793702000714
2022-08-09,162.755,63975526,72.69753109902229,160.35747780374754,155.071912453177,5.37670493036623,4.682375947673818
2022-08-10,167.018,71104164,74.6162552168069,161.68958224299806,156.15792041197906,5.626885036967593,4.871277765532573
2022-08-11,166.279,57909533,75.97047173208499,162.60746579439845,157.0780185563446,5.6998194790402295,5.036986108234105
2022-08-12,169.84,68944651,81.62468138634179,164.0539726355188,158.238198687586,5.976075016515466,5.224803889890377
2022-08-15,170.916,54811388,85.9088632949424,165.42637810841504,159.39072607962362,6.210245879021528,5.421892287716608
2022-08-16,170.759,57127151,82.48589830779689,166.49290248673205,160.42420552693056,6.310416829657129,5.599597196104712
2022-08-17,172.259,80600350,83.12649348647187,167.64612198938565,161.50009593357322,6.4366428812416245,5.767006333132095
2022-08-18,171.864,63118849,77.54410726887792,168.48969759150853,162.4422690305211,6.430675908765181,5.899740248258713
2022-08-19,169.27,71282258,72.09343014609397,168.64575807320685,163.06297184592825,6.1457880994601055,5.948949818498991
2022-08-22,165.369,69945216,65.18489222859404,167.9904064585655,163.27261076902568,5.541357045452287,5.86743126388965
2022-08-23,165.034,54867510,53.34898917704713,167.3991251668524,163.4327370627506,4.977926937093457,5.689530398530412
2022-08-24,165.33,54557889,54.91618969746526,166.98530013348193,163.60521551159144,4.503377115022062,5.452299741828742
2022-08-25,167.798,51899671,60.58966481727727,167.14784010678557,163.98637773781041,4.277135777330557,5.2172669489291055
2022-08-26,161.471,80011562,47.7695032897115,166.01247208542844,163.7577070343731,3.546420931249372,4.883097745393159
2022-08-29,159.261,74289401,44.14190865803769,164.66217766834276,163.34891548579373,2.757212195074686,4.457920635329464
2022-08-30,156.824,78942745,31.793827689669982,163.0945421346742,162.75574135072156,1.9130604821734494,3.9489486046982614
2022-08-31,155.156,89161819,30.77268798617115,161.5068337077394,162.06485577338324,1.0968269694197659,3.3785242776425624
2022-09-01,155.886,75217530,23.26205257913695,160.38266696619152,161.50314161216656,0.5030619441065483,2.80343181093536
2022-09-02,153.765,77981697,18.40156232727807,159.05913357295321,160.79967419287868,-0.13706805514573261,2.2153318377191416
2022-09-06,152.5,74695625,17.67975360215246,157.74730685836258,160.04515835716245,-0.7379440596295126,1.6246766582494108
2022-09-07,153.913,88613097,17.425426136363683,156.9804454866901,159.4876894156022,-1.0875882903831382,1.0822236685229012
2022-09-08,152.432,86053765,16.778362853039738,156.07075638935208,158.8462631050929,-1.4672743596016744,0.5723240628979862
2022-09-09,155.303,68986829,26.345561087965336,155.91720511148168,158.52414827735717,-1.5190024838087766,0.15405875355663362
2022-09-12,161.284,106352409,43.53700598044489,156.99056408918534,158.7750438885065,-1.0651028377168075,-0.08977356469805461
2022-09-13,151.819,124288570,33.778508825767815,155.95625127134826,158.14267626227863,-1.4523882678417124,-0.3622965053267862
2022-09-14,153.27,89135795,35.60446906035142,155.4190010170786,157.69970569298056,-1.6235163026365171,-0.6145404647887325
2022-09-15,150.369,91684968,29.408567850476146,154.40900081366289,157.0332779027096,-1.970508166904409,-0.8857340052118678
2022-09-16,148.721,164437974,33.06413049253496,153.2714006509303,156.27761627519055,-2.3513763435598207,-1.1788624728814585
2022-09-19,152.452,82558267,41.30684574726146,153.10752052074426,155.92983297744595,-2.325351395428754,-1.4081602573909175
2022-09-20,154.838,109122617,47.46113724688074,153.45361641659542,155.83057543404178,-2.0881255654636846,-1.544153319005471
2022-09-21,151.702,103049874,45.744208969935926,153.10329313327634,155.45525039458343,-2.1286338118959804,-1.661049417583573
2022-09-22,150.735,87805461,43.69012911286966,152.62963450662107,155.02613672234858,-2.2132527079680813,-1.7714900756604748
2022-09-23,148.455,97307594,43.52059742288173,151.79470760529688,154.42876065668054,-2.4362076526631142,-1.9044335910610029
2022-09-26,148.79,94581297,45.3678269989512,151.19376608423752,153.91614605152776,-2.5564007557414072,-2.034827023997084
2022-09-27,149.767,85566258,44.76647311285027,150.90841286739004,153.53895095593433,-2.5434990472615198,-2.136561428649971
