ds,y,volume,rsi,ema_9,ema_21,macd,macd_signal
2022-01-03,170.404,63869140,50.0,170.404,170.404,0.0,0.0
2022-01-04,167.522,70725160,50.0,169.82760000000002,170.142,-0.22990313390312167,-0.04598062678062434
2022-01-05,164.357,64302720,50.0,168.73348000000001,169.6160909090909,-0.6598853256061545,-0.16876156654573038
2022-01-06,163.254,51957780,50.0,167.63758400000003,169.03771900826445,-1.0772345034292528,-0.3504561539224349
2022-01-07,162.554,46605900,50.0,166.62086720000002,168.44829000751312,-1.447781756670338,-0.5699212744720155
2022-01-10,161.486,87798300,50.0,165.59389376000001,167.81535455228467,-1.8067942000168387,-0.8172958595809802
2022-01-11,165.362,62805580,50.0,165.547515008,167.5923223202588,-1.7582849268550547,-1.005493673035795
2022-01-12,165.207,50029120,50.0,165.47941200640003,167.3754748365989,-1.7126063233596085,-1.1469162031005578
2022-01-13,161.214,52188300,50.0,164.62632960512002,166.81534076054444,-1.9758312770499344,-1.312699217890433
2022-01-14,162.138,45974860,50.0,164.12866368409604,166.3901279641313,-2.085835656413593,-1.4673265055950653
2022-01-18,158.918,67441440,50.0,163.08653094727686,165.71084360375573,-2.405117313676726,-1.6548846672113977
2022-01-19,156.299,53241920,50.0,161.7290247578215,164.85522145795974,-2.836781092858047,-1.8912639523407275
2022-01-20,151.668,71973320,50.0,159.7168198062572,163.65638314359978,-3.5120757222125576,-2.2154263063150936
2022-01-21,142.643,163971440,12.847621851663519,156.30205584500578,161.7460755850907,-4.7210720760121205,-2.716555460254499
2022-01-24,144.544,156044740,17.067393408384746,153.95044467600465,160.18225053190062,-5.462843326698248,-3.2658130335432487
2022-01-25,139.986,90824660,16.36865503932779,151.15755574080373,158.3462277562733,-6.345349653284842,-3.8817203574915675
2022-01-26,138.872,95601700,17.231979839020795,148.700444592643,156.57584341479392,-7.053326408835204,-4.516041567760295
2022-01-27,139.638,77515800,19.36964980544751,146.8879556741144,155.03603946799447,-7.4665238508323455,-5.106138024374705
2022-01-28,143.978,74391980,27.985304574543747,146.30596453929152,154.03076315272224,-7.358954623327719,-5.556701344165308
2022-01-31,149.574,78307440,37.25116657391158,146.95957163143322,153.6256028661111,-6.744409449375922,-5.794242965207431
2022-02-01,151.194,59219840,34.06729341909944,147.80645730514658,153.404548060101,-6.056838051557577,-5.84676198247746
2022-02-02,150.612,87329760,33.74323330882844,148.36756584411728,153.1506800546373,-5.495546066924334,-5.776518799366835
2022-02-03,138.846,225531360,28.76267517374957,146.46325267529383,151.85025459512482,-5.931758374497434,-5.807566714392955
2022-02-04,157.64,253455860,46.81137639652922,148.69860214023507,152.37659508647712,-4.706685300664418,-5.587390431647248
2022-02-07,157.936,102624380,49.273754585256185,150.54608171218806,152.88199553316102,-3.6696202393916337,-5.203836393196125
2022-02-08,161.414,76040360,53.73537616662041,152.71966536975046,153.65763230287365,-2.5378385504811547,-4.670636824653131
2022-02-09,161.19,68785600,57.43209491102092,154.41373229580037,154.3423930026124,-1.6400627138649213,-4.064522002495489
2022-02-10,159.004,68268120,64.29632477586901,155.3317858366403,154.76617545692037,-1.0923686798907681,-3.4700913379745453
2022-02-11,153.294,77100440,57.168605603801424,154.92422866931227,154.63234132447306,-1.10631359709177,-2.9973357897979906
2022-02-14,155.167,83230700,63.009683777530235,154.97278293544983,154.68094665861187,-0.9552184342481951,-2.5889123186880316
2022-02-15,156.51,56970660,65.05616826578346,155.28022634835986,154.8472242351017,-0.7188194498636449,-2.2148937449231547
2022-02-16,158.1,52704280,65.54092730394964,155.84418107868788,155.1429311228197,-0.3985772888801762,-1.8516304537145591
2022-02-17,154.652,64032500,59.12214131883909,155.6057448629503,155.09830102074517,-0.4181872506295292,-1.5649418130975532
2022-02-18,152.602,63604100,52.754730713246,155.00499589036025,154.8713645643138,-0.5923182776339218,-1.3704171060048271
2022-02-22,150.198,66128240,49.10663030998853,154.0435967122882,154.44651324028527,-0.9137677343737494,-1.2790872316786117
2022-02-23,144.827,64243560,45.22161465646837,152.2002773698306,153.57201203662297,-1.5836581322824657,-1.3400014117993826
2022-02-24,151.358,100785760,61.313248218742096,152.03182189586448,153.3707382151118,-1.5694621975125642,-1.385893568942019
2022-02-25,153.788,62395360,45.05316689782712,152.3830575166916,153.40867110464708,-1.346608263461917,-1.3780365078459986
2022-02-28,153.563,57683420,44.373826004168464,152.61904601335328,153.42270100422462,-1.1746103577132772,-1.3373512778194543
2022-03-01,151.142,44873580,36.41485478495478,152.32363681068264,153.2153645492951,-1.219596495856507,-1.313800321426865
2022-03-02,152.052,47334720,38.13000103917696,152.26930944854612,153.1096041357228,-1.1683509175258848,-1.284710440646669
2022-03-03,147.898,65197200,36.27533366287692,151.3950475588369,152.63582194156618,-1.4462599268962038,-1.317020337896576
2022-03-04,145.641,60983120,39.66006431215713,150.24423804706953,151.9999290377874,-1.8275588951846657,-1.4191280493541938
2022-03-07,137.453,86933860,29.555422187341307,147.68599043765562,150.6774809434431,-2.7586443102803457,-1.6870313015394243
2022-03-08,136.014,91662580,26.39688608411261,145.3515923501245,149.34443722131192,-3.5714816661498503,-2.0639213744615095
2022-03-09,139.279,82656660,29.130907236156375,144.1370738800996,148.42939747391992,-3.907163564154189,-2.4325698124000454
2022-03-10,146.818,135062900,42.03602797657777,144.6732591040797,148.28290679447267,-3.5242344122868587,-2.6509027323774084
2022-03-11,145.524,68900560,42.692244156273226,144.8434072832638,148.03209708588426,-3.287281550712322,-2.7781784960443914
2022-03-14,141.853,74086100,41.60378307676829,144.24532582661104,147.4703609871675,-3.357016128672882,-2.89394602257009
